Celsius        Fahrenheit     Kelvin         
12.30          44.30          285.45         
5.50           37.50          278.65         
15.60          47.60          288.75         
21.20          53.20          294.35         
16.80          48.80          289.95         
19.70          51.70          292.85         
22.30          54.30          295.45         
19.60          51.60          292.75         
14.80          46.80          287.95         
22.00          54.00          295.15         
21.50          53.50          294.65         
17.60          49.60          290.75         
16.30          48.30          289.45         
18.70          50.70          291.85         
19.40          51.40          292.55         
12.80          44.80          285.95         
11.20          43.20          284.35         
8.90           40.90          282.05         
17.50          49.50          290.65         
19.20          51.20          292.35         
11.60          43.60          284.75         
23.40          55.40          296.55         
